llm_model,model_pretty,ablation,ablation_pretty,modality,nrmse,sqrt_bias_squared,sqrt_variance,n_sqrt_bias_squared,n_sqrt_variance
gemma-3-4b-it,Gemma 3 4B it,base_7,Longer Context,image,1.1256880291143694,0.013428666666666693,0.2363359626567419,0.06385886421210585,1.1238752530209628
gemma-3-4b-it,Gemma 3 4B it,base_7,Longer Context,text,0.9396982021548056,0.015504666666666651,0.19706484460253743,0.0737057937012845,0.9368031634809084
gemma-3-4b-it,Gemma 3 4B it,base_7,Longer Context,text_image,1.0779605647614021,0.00738822223333333,0.2266995431598264,0.03511249269879281,1.07738855202624
gemma-3-4b-it,Gemma 3 4B it,base_8,Reverse Order,image,1.0531544847474128,0.027793999999999985,0.21998689613398945,0.13201018023038785,1.0448481617245295
gemma-3-4b-it,Gemma 3 4B it,base_8,Reverse Order,text,0.9138217462025419,0.052113999999999994,0.1853978998230962,0.24728497245299824,0.8797274158690194
gemma-3-4b-it,Gemma 3 4B it,base_8,Reverse Order,text_image,1.1669361546535562,0.03528355559999998,0.2434813180486337,0.1673558833916562,1.1548731520525648
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base,Base,image,0.7502454340920417,0.06922733333333332,0.14198212009341957,0.32880163885020053,0.674357244837911
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base,Base,text,0.46102916130726773,0.055311407407407386,0.07982221132406084,0.2625824397104428,0.3789437292414195
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base,Base,text_image,0.6359249540245849,0.06862733333333332,0.11489627797665548,0.3260954234671588,0.5459508420590126
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_1,Verbal Cue,image,0.7228226782053455,0.05710066666666666,0.14106795090625257,0.27120491105785316,0.6700153135160797
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_1,Verbal Cue,text,0.4388803273570653,0.04796733333333333,0.07899955425753293,0.22778080655945662,0.3751424341555727
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_1,Verbal Cue,text_image,0.6362429430499189,0.07692733333333335,0.10972523696134004,0.3652425929116502,0.5209634640778535
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_2,Numerical Cue,image,0.7397633549736685,0.038793999999999995,0.15084437390016683,0.1842557002179488,0.7164493410556613
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_2,Numerical Cue,text,0.3293628293886597,0.013313999999999998,0.06815062369976278,0.06315094988007108,0.3232519619617925
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_2,Numerical Cue,text_image,0.6161789211639329,0.046794,0.12108023704965235,0.2221241290910818,0.5747498013590581
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_3,Noise,image,0.7846971651496204,0.10166066666666666,0.13019682187450746,0.48293010053845253,0.6184886086160123
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_3,Noise,text_image,0.675343092014896,0.08686733333333332,0.11285011935995262,0.4119413424367831,0.5351566334482094
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_4,Short context,image,64.43327438360004,2.4446726666666665,13.343974004147324,11.611199515397917,63.378441867924714
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_4,Short context,text,0.46634532747159313,0.0005322661782661742,0.09835368242199295,0.002523710392455968,0.4663384986685557
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_4,Short context,text_image,0.4301963308143084,0.02540066666666666,0.0866965011186854,0.12095600438015094,0.4128420134270285
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_5,Gradual noise,image,0.7205840401370973,0.06906066666666666,0.1350853015427248,0.3280100400625102,0.6416001656160106
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_5,Gradual noise,text_image,0.6337921127404202,0.061454,0.11840849852945523,0.29195878855020446,0.5625411166841607
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_6,Compressed Numerical Cue,image,0.7667700814469105,0.10132733333333332,0.12567959961567174,0.4812635653593555,0.5969269121590206
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_6,Compressed Numerical Cue,text,0.3209800689734844,0.027393999999999998,0.061945172026020984,0.12981923979398344,0.29355607583140736
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_6,Compressed Numerical Cue,text_image,0.5694309384754319,0.06439399999999999,0.10117701486668468,0.30574266906049197,0.48038839911968895
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_7,Longer Context,image,0.6962029628099915,0.05245466666666666,0.13668251148149455,0.24944363570157882,0.6499818751575988
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_7,Longer Context,text,0.5243293605900616,0.07431133333333334,0.08150660017173797,0.3532598231285672,0.3874645477201189
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_7,Longer Context,text_image,0.7045607014299906,0.098118,0.11113560729727144,0.4663053505722449,0.5281714702889735
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_8,Reverse Order,image,26.90378052937552,0.4424793333333334,5.6471308297647544,2.101596623068117,26.82157151262234
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_8,Reverse Order,text,0.38914448761916876,0.028983111111111105,0.0767179427669929,0.1375271104254768,0.3640325893960651
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_8,Reverse Order,text_image,0.6058937586047521,0.07754733333333332,0.10150856252662739,0.36782014323599604,0.4814723137897391
meta-llama_llama-4-maverick,Llama 4 Maverick,base,Base,image,0.7393420871922072,0.025993999999999982,0.15347863109892532,0.12346091332333242,0.7289609898856715
meta-llama_llama-4-maverick,Llama 4 Maverick,base,Base,text,0.7382982600718017,0.10306190647482012,0.11646508248823444,0.48927062448502323,0.5529001508781537
meta-llama_llama-4-maverick,Llama 4 Maverick,base,Base,text_image,0.6532866028007406,0.09659157534246575,0.09783796366349652,0.4589726736382202,0.46489511747523926
meta-llama_llama-4-maverick,Llama 4 Maverick,base_1,Verbal Cue,image,0.7495718836819742,0.026660666666666655,0.15554990761667317,0.12662730847409373,0.7387987097681952
meta-llama_llama-4-maverick,Llama 4 Maverick,base_1,Verbal Cue,text,0.7107817306830052,0.09434482758620688,0.11620349370439859,0.44801199960318294,0.5518114867273837
meta-llama_llama-4-maverick,Llama 4 Maverick,base_1,Verbal Cue,text_image,0.6973632927180458,0.09605255033557047,0.11111801307500688,0.45604703842163447,0.527576213240714
meta-llama_llama-4-maverick,Llama 4 Maverick,base_2,Numerical Cue,image,0.5988660166245043,0.03246066666666665,0.12183782401026193,0.1541749462857167,0.5786800426880968
meta-llama_llama-4-maverick,Llama 4 Maverick,base_2,Numerical Cue,text,0.6478084065933952,0.08145985507246377,0.1096237624588354,0.3863802932942027,0.5199673072482149
meta-llama_llama-4-maverick,Llama 4 Maverick,base_2,Numerical Cue,text_image,0.5003795185525517,0.05751358108108107,0.08834069007533657,0.27300837946199197,0.41934006168075627
meta-llama_llama-4-maverick,Llama 4 Maverick,base_3,Noise,image,0.7529597640823495,0.038527333333333316,0.15375040864841807,0.18302072542128844,0.7303778613794457
meta-llama_llama-4-maverick,Llama 4 Maverick,base_3,Noise,text_image,0.6850318190196516,0.09640620689655172,0.10757797490942263,0.45717648699784086,0.5101551262171986
meta-llama_llama-4-maverick,Llama 4 Maverick,base_4,Short context,image,0.7240729769494407,0.05039399999999998,0.14387943217847365,0.23935097584119475,0.683368704516305
meta-llama_llama-4-maverick,Llama 4 Maverick,base_4,Short context,text,0.7312214711224967,0.07058541998231653,0.13711762484058873,0.33467683132810117,0.6501355692490066
meta-llama_llama-4-maverick,Llama 4 Maverick,base_4,Short context,text_image,0.6436791472995839,0.07666042553191489,0.11133140171725837,0.3650509999641427,0.5301514991900889
meta-llama_llama-4-maverick,Llama 4 Maverick,base_5,Gradual noise,image,1.0124624375857656,0.09699399999999998,0.18982326746388772,0.4606819968794072,0.9015832103989693
meta-llama_llama-4-maverick,Llama 4 Maverick,base_5,Gradual noise,text_image,0.6923984453520523,0.10237771812080537,0.1037281528909851,0.4863812698454885,0.49279698403037064
meta-llama_llama-4-maverick,Llama 4 Maverick,base_6,Compressed Numerical Cue,image,0.6666593879761793,0.05799399999999998,0.12782023654596586,0.2754478805598732,0.6070940657524563
meta-llama_llama-4-maverick,Llama 4 Maverick,base_6,Compressed Numerical Cue,text,0.7328267495578206,0.11549517985611511,0.10282965217277965,0.5473277523833779,0.48730624492042024
meta-llama_llama-4-maverick,Llama 4 Maverick,base_6,Compressed Numerical Cue,text_image,0.6872706866806229,0.10341625850340136,0.10127934050205804,0.49102032641363685,0.4808742411682084
meta-llama_llama-4-maverick,Llama 4 Maverick,base_7,Longer Context,image,0.7684907815880208,0.014664666666666673,0.16093660579522884,0.06973655543234325,0.7653201253215538
meta-llama_llama-4-maverick,Llama 4 Maverick,base_7,Longer Context,text,0.7470503679347805,0.06951243986254296,0.14093872071871213,0.33044693332211,0.6699918480769032
meta-llama_llama-4-maverick,Llama 4 Maverick,base_7,Longer Context,text_image,0.6649546706948462,0.07528777777777776,0.11793431811679976,0.35780482287115445,0.5604823126638636
meta-llama_llama-4-maverick,Llama 4 Maverick,base_8,Reverse Order,image,0.794319681415718,0.05499399999999998,0.15793898253439523,0.26119910238144745,0.7501458426196159
meta-llama_llama-4-maverick,Llama 4 Maverick,base_8,Reverse Order,text,0.616342684986264,0.07299549999999999,0.1074398375858056,0.34636930971893987,0.5098103633910378
meta-llama_llama-4-maverick,Llama 4 Maverick,base_8,Reverse Order,text_image,0.650364018139864,0.09230260273972601,0.10139528356985865,0.43780688647081706,0.4809350125014381
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base,Base,image,1.3968595776940387,0.04004400000000002,0.291362021611145,0.19019269112562626,1.3838509385182929
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base,Base,text,0.9637724107543375,0.11229399999999998,0.16912797906910612,0.5330985752659694,0.8029091908681958
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base,Base,text_image,1.0471729896260256,0.1205273333333333,0.18449989022459848,0.5727078394813642,0.8766852347330234
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_1,Verbal Cue,image,1.038624008844996,0.06292733333333335,0.20942667999299636,0.2988792046755067,0.9946914359547825
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_1,Verbal Cue,text,1.0143722527499301,0.11596066666666666,0.1793968915363053,0.5506583824235722,0.851895775911363
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_1,Verbal Cue,text_image,1.1279871997142472,0.15079399999999998,0.18358581228043375,0.7159534741295165,0.871645424241454
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_2,Numerical Cue,image,1.0071469685450303,0.04739399999999999,0.20668487850832243,0.2251021976627691,0.9816689955666502
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_2,Numerical Cue,text,0.9563627213526259,0.12452733333333332,0.15857767862960903,0.5906579079189004,0.7521654675707121
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_2,Numerical Cue,text_image,1.2216495740225022,0.15606066666666663,0.20464419828787936,0.7407966762556513,0.971415444677477
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_3,Noise,image,1.4414541492678632,0.04272733333333333,0.3004143825222458,0.20297245787364473,1.4270922345056294
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_3,Noise,text_image,1.0360826856703684,0.11119399999999999,0.1880697971605223,0.5273030018677791,0.8918625879400663
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_4,Short context,image,1.372494899887573,0.037360666666666646,0.28654573950108253,0.177447950643812,1.360975560041293
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_4,Short context,text,0.9693856006410437,0.07037864646464648,0.19195420916565226,0.3336964262286668,0.9101401748370482
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_4,Short context,text_image,1.2107808555927424,0.1395273333333333,0.21256014402098578,0.6644183384353737,1.0121949178990528
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_5,Gradual noise,image,1.2985038098580919,0.015793999999999996,0.27293607029974376,0.07501506751668512,1.2963351741974167
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_5,Gradual noise,text_image,1.0983457518286042,0.13439400000000004,0.18811361550226324,0.6384858500409443,0.8936997313737062
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_6,Compressed Numerical Cue,image,1.1654562552159882,0.086994,0.22944173887358277,0.4131860696179883,1.0897548140273177
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_6,Compressed Numerical Cue,text,0.8601581538906465,0.10812733333333331,0.14578570354995568,0.512411776822807,0.6908735200294327
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_6,Compressed Numerical Cue,text_image,1.0710301489973286,0.15806066666666663,0.16093764390664547,0.7504719399345807,0.7641318259515609
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_7,Longer Context,image,1.415613008579195,0.0023213333333333233,0.2976754671532219,0.011038900123444927,1.4155699674486968
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_7,Longer Context,text,1.0176016577160532,0.12539494444444443,0.17348903083426265,0.5961001358562751,0.8247289020148316
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_7,Longer Context,text_image,1.0670590836571745,0.12140466666666666,0.18887259880200258,0.5769751284280819,0.8976161703037036
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_8,Reverse Order,image,1.4659955544215586,0.02086066666666664,0.3079513643844142,0.09907967066247063,1.4626435602856869
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_8,Reverse Order,text,1.0252772702224837,0.12686066666666668,0.1749096266444157,0.6019637038422624,0.829959746066864
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_8,Reverse Order,text_image,1.0998847927351618,0.141194,0.18394664607978045,0.6697070688533873,0.8724901141089649
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base,Base,image,1.1106870717815014,0.12610733333333332,0.19693210044637777,0.5989584731131518,0.9353472718239616
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base,Base,text,0.6354209040944203,0.09288304761904762,0.09637382705056327,0.4409480502259736,0.4575199912157749
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base,Base,text_image,0.72980572035016,0.12212733333333332,0.09313672043232406,0.5803105343873899,0.4425562937467254
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_1,Verbal Cue,image,1.0817025481523983,0.14453400000000002,0.17600663704531144,0.6864776350801932,0.8359598430631084
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_1,Verbal Cue,text,0.5831122056537179,0.09532733333333332,0.07740351688536008,0.4526775904538264,0.3675633870276822
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_1,Verbal Cue,text_image,0.7319238180637209,0.11446066666666664,0.10326346575413571,0.5434467681153132,0.49028367877586526
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_2,Numerical Cue,image,0.8345774025966368,0.09466066666666666,0.148038239743055,0.4495996138517428,0.7031213466744645
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_2,Numerical Cue,text,0.566943821466884,0.09299399999999998,0.07509324561725464,0.441089036589104,0.3561821984608019
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_2,Numerical Cue,text_image,0.6328870108119211,0.09206066666666665,0.09644235528484822,0.436998234963408,0.4577974564076506
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_3,Noise,image,0.5941114523617123,0.02926066666666666,0.12159410467982767,0.13900023635974068,0.5776221534180276
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_3,Noise,text_image,0.5223277538336161,0.08076066666666665,0.07489728717531913,0.382982372845445,0.35517711710433025
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_4,Short context,image,0.8202315009396085,0.074894,0.15561007145211822,0.35571599763167133,0.7390844634834017
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_4,Short context,text,0.6278240783034112,0.0836535238095238,0.10264026422660816,0.39663851663722105,0.4866630871736141
